...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,3875.966679649158
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,5741.50752777961
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,3592.4073910123493
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,679.4020298720357
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3525.7975161609684
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,4624.181974599402
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2326.8033137054244
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,971.8883635183852
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,1372.2669422665388
52,pSRO9-mTurq-tCLN2,pSRO9,mTurq,tCLN2,664.4529517411547
53,pSRO9-mTurq-tHSP26,pSRO9,mTurq,tHSP26,655.8791920301296
54,pSRO9-mTurq-tPAB1,pSRO9,mTurq,tPAB1,850.8146950640679
55,pSRO9-mTurq-tPGK1,pSRO9,mTurq,tPGK1,493.24983438296226
56,pSRO9-mTurq-tPMA1_long,pSRO9,mTurq,tPMA1,106.91207095403897
57,pSRO9-mTurq-tRPS13,pSRO9,mTurq,tRPS13,953.7371165189172
58,pSRO9-mTurq-tRPS3,pSRO9,mTurq,tRPS3,803.4965664722091
59,pSRO9-mTurq-tSRO9_long,pSRO9,mTurq,tSRO9,301.43171776942535
60,pSRO9-mTurq-tSUN4,pSRO9,mTurq,tSUN4,160.12494843014346
61,pSRO9-mTurq-tTOS6,pSRO9,mTurq,tTOS6,274.36974698148157
2,pCLN2-mTurq-tCLN2,pCLN2,mTurq,tCLN2,108.34041945381148
3,pCLN2-mTurq-tHSP26,pCLN2,mTurq,tHSP26,143.3975463741435
4,pCLN2-mTurq-tPAB1,pCLN2,mTurq,tPAB1,156.75592860169982
5,pCLN2-mTurq-tPGK1,pCLN2,mTurq,tPGK1,123.0365636194888
6,pCLN2-mTurq-tPMA1_long,pCLN2,mTurq,tPMA1,45.44916586512512
7,pCLN2-mTurq-tRPS13,pCLN2,mTurq,tRPS13,124.6839703656596
8,pCLN2-mTurq-tRPS3,pCLN2,mTurq,tRPS3,129.17703976838123
9,pCLN2-mTurq-tSRO9_long,pCLN2,mTurq,tSRO9,56.67410910989763
10,pCLN2-mTurq-tSUN4,pCLN2,mTurq,tSUN4,38.26405993807273
11,pCLN2-mTurq-tTOS6,pCLN2,mTurq,tTOS6,93.8167518221169
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,4849.228072772143
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,3663.2797567176062
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,5196.424532595896
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,4845.61373238376
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,2224.563665152632
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,5323.454826327789
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,6294.7287240329315
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,2887.2503821282576
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,3029.2424597999284
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,4261.874350728856
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,5603.383699241614
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,5148.242290734349
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,8097.605317608857
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,6688.403509734035
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1063.7781248663634
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,5439.600094310259
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,5970.393329249874
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,2885.987213340442
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2513.834650290538
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,4013.241128996387
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4638.564418867413
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4636.7877750738
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,5454.956870021136
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,4240.555873946222
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,922.1422825555368
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,4074.782074655757
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,4556.33020662119
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,3564.9091092231683
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1234.607545868562
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,1943.0619450520785
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4674.201271107292
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,4350.498316161242
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,5449.431973550644
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,3647.9660577089817
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,765.7112036239735
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3517.613069956913
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,4850.748680726054
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2372.18257184733
